n,m,density,avg_degree,log_n,log_m,mean_weight,std_weight,min_weight,max_weight,skew_weight,connected_components,best_algorithm,best_time_ms
499,1389,0.01117898,5.56713427,6.21260610,7.23633934,50.35819285,28.39277691,0.20951588,99.97800446,-0.00921978,1,kruskal,0.68320600
439,58584,0.60935501,266.89749431,6.08449941,10.97821690,50.04227268,28.88431824,0.01225486,99.99969482,0.00337989,1,prim,4.77386300
447,20924,0.20990961,93.61968680,6.10255859,9.94865210,50.19738428,28.89350641,0.01834249,99.99752808,0.00033974,1,prim,2.37859600
677,676,0.00295421,1.99704579,6.51767127,6.51619308,49.61517798,28.23152233,0.02758073,99.69506073,-0.01091891,1,kruskal,0.75204400
2689,18137,0.00501852,13.48977315,7.89692466,9.80570933,49.72257750,29.05388237,0.01989929,99.98334503,0.00114513,1,kruskal,6.00566700
2718,101812,0.02757337,74.91685063,7.90765159,11.53088325,50.00792783,28.87520269,0.01023190,99.99998474,-0.00398774,1,prim,20.22904900
3064,19478,0.00415086,12.71409922,8.02747653,9.87704090,50.17134201,28.79606374,0.01348375,99.99465179,-0.01173477,1,kruskal,6.70149800
499,29955,0.24108458,120.06012024,6.21260610,10.30745153,50.03239264,28.89673367,0.01197968,99.99694061,-0.00721342,1,prim,3.14216300
477,32601,0.28716770,136.69182390,6.16751649,10.39209824,50.08466433,28.80168736,0.01038872,99.99914551,-0.00035990,1,prim,3.28808700
1119,105464,0.16860185,188.49687221,7.02019071,11.56612494,49.98877635,28.84651666,0.01012006,99.99750519,-0.00249401,1,prim,13.48154000
1299,35978,0.04267595,55.39337952,7.16935002,10.49066292,49.87631070,28.86175343,0.01155648,99.99926758,0.00555605,1,prim,5.91538000
1793,151267,0.09415771,168.73061907,7.49164547,11.92680177,50.10120284,28.86225639,0.01241584,99.99868774,-0.00332595,1,prim,25.51357000
468,6771,0.06196124,28.93589744,6.14846830,8.82040407,50.69208361,28.94774830,0.07235992,99.99411011,-0.03544756,1,prim,1.28010100
2304,132411,0.04990886,114.94010417,7.74240202,11.79366600,49.94511361,28.87715388,0.01008327,99.99990082,0.00387243,1,prim,23.48787300
1070,17662,0.03088221,33.01308411,6.97541393,9.77917072,49.74714585,28.93080409,0.01708768,99.99938965,0.01535934,1,prim,3.44767800
1332,2076,0.00234194,3.11711712,7.19443685,7.63819824,48.90464436,28.29901414,0.08954775,99.86666107,0.06422362,1,kruskal,1.69149700
740,192366,0.70352924,519.90810811,6.60665019,12.16715509,50.06027889,28.85381960,0.01054600,99.99983978,-0.00125239,1,prim,15.88388400
578,69974,0.41962663,242.12456747,6.35957387,11.15587902,50.14754110,28.82121163,0.01154412,99.99642944,-0.00528495,1,prim,6.98266000
1895,4509,0.00251259,4.75883905,7.54697412,8.41383068,50.20979955,28.96789517,0.02297205,99.99993134,0.00250733,1,kruskal,2.76763300
963,1985,0.00428538,4.12253375,6.87005341,7.59337419,48.80234842,29.31258419,0.08348595,99.98271942,0.04086553,1,kruskal,1.27172700
701,9820,0.04002445,28.01711840,6.55250789,9.19217640,49.86864958,28.83258743,0.01096433,99.96310425,0.01371636,1,kruskal,2.36557400
1024,1023,0.00195312,1.99804688,6.93147181,6.93049477,48.74016969,28.78640623,0.03077775,99.91265106,0.08096808,1,kruskal,1.12878800
628,54258,0.27559199,172.79617834,6.44254017,10.90150573,49.90180659,28.94119764,0.01205576,99.99358368,0.00818009,1,prim,5.82489900
752,751,0.00265957,1.99734043,6.62273632,6.62140565,50.67452502,29.11720394,0.02695215,99.59639740,-0.01174649,1,kruskal,0.81316600
461,20537,0.19369046,89.09761388,6.13339804,9.92998342,49.97825873,28.86200577,0.01699884,99.99916840,-0.00481049,1,prim,2.32245200
1357,178232,0.19372075,262.68533530,7.21303166,12.09084135,49.96481545,28.82056722,0.01028058,99.99974060,-0.00188849,1,prim,24.53599900
1297,94886,0.11289824,146.31611411,7.16780918,11.46043145,50.11007332,28.81745554,0.01003867,99.99819183,-0.00539900,1,prim,13.32175600
906,59790,0.14584172,131.98675497,6.80903931,10.99859370,50.02103703,28.85760681,0.01206745,99.99687195,0.00099991,1,prim,7.53468500
5767,48354,0.00290829,16.76920409,8.65990729,10.78630423,50.00766700,28.95456519,0.01007145,99.99723053,0.00698553,1,kruskal,17.46411000
613,9096,0.04849183,29.67699837,6.41836494,9.11559004,49.53124688,29.01234256,0.02855577,99.97930908,0.01746230,1,kruskal,1.77976300
1145,1144,0.00174672,1.99825328,7.04315992,7.04228617,50.29991679,29.22686074,0.32117948,99.96717072,-0.01981112,1,kruskal,1.30387700
622,140518,0.72757869,451.82636656,6.43294009,11.85309087,49.89972518,28.85962410,0.01005315,99.99775696,0.00118401,1,prim,11.50917000
3417,8548,0.00146464,5.00321920,8.13651825,9.05345262,49.69834030,28.69032091,0.01577616,99.99287415,0.00897668,1,kruskal,5.19635100
405,48831,0.59688302,241.14074074,6.00388707,10.79612064,50.14522124,28.83305189,0.01128770,99.98912048,-0.00021423,1,prim,4.35941000
509,8970,0.06938106,35.24557957,6.23244802,9.10164096,50.33062960,28.61760596,0.01782419,99.99667358,-0.02388564,1,prim,1.51188400
323,13089,0.25169702,81.04643963,5.77765232,9.47952746,50.10339694,29.03434624,0.01169486,99.97084808,-0.02061333,1,prim,1.41466600
673,1466,0.00648305,4.35661218,6.51174533,7.29029288,51.34848421,29.56023777,0.19176988,99.98783875,-0.03414771,1,kruskal,0.89161400
688,687,0.00290698,1.99709302,6.53378884,6.53233429,48.82176930,29.10359535,0.88804114,99.98993683,0.04231388,1,kruskal,0.76446100
912,137832,0.33179271,302.26315789,6.81563999,11.83379083,50.17069860,28.87766719,0.01041377,99.99946594,-0.00624647,1,prim,16.87560400
2190,29205,0.01218421,26.67123288,7.69165682,10.28209521,49.94928077,28.85526294,0.01255378,99.99966431,0.00403939,1,kruskal,7.09778200
3105,10341,0.00214590,6.66086957,8.04076899,9.24387186,49.84359718,28.72732423,0.01251716,99.99145508,0.01691742,1,kruskal,5.18480100
7485,42182,0.00150602,11.27107548,8.92065630,10.64974887,50.08313171,28.85344854,0.01043328,99.99826050,-0.00017913,1,kruskal,20.07455900
525,37560,0.27306434,143.08571429,6.26339826,10.53369493,50.06989650,28.87419875,0.01015824,99.99573517,-0.00308480,1,prim,5.73663300
1044,12156,0.02232728,23.28735632,6.95081477,9.40557815,49.85863038,28.86658758,0.01453569,99.99385071,0.01034112,1,kruskal,3.76089300
689,2531,0.01067860,7.34687954,6.53524127,7.83636976,50.36318388,28.75116518,0.05261885,99.96395111,-0.00881003,1,prim,1.39657100
874,3108,0.00814677,7.11212815,6.77308038,8.04173471,50.48568248,28.45986845,0.10316352,99.93312073,-0.00585293,1,kruskal,1.52333900
1616,113217,0.08676164,140.12004950,7.38770924,11.63706161,50.11932414,28.84104058,0.01202822,99.99826813,-0.00752062,1,prim,17.28661500
611,610,0.00327332,1.99672668,6.41509696,6.41345896,48.96952265,29.12138414,0.04230198,99.94715118,0.06638113,1,kruskal,0.65569300
593,592,0.00337268,1.99662732,6.38519440,6.38350663,48.64580554,29.57633886,0.42403775,99.84609222,-0.00485114,1,kruskal,0.63740400
1693,57909,0.04043140,68.40992321,7.43425738,10.96662809,49.99467962,28.89269944,0.01081459,99.99912262,-0.00278452,1,prim,9.84747400
853,156073,0.42950591,365.93903869,6.74875955,11.95807913,49.90860573,28.85915590,0.01115736,99.99913788,0.00223559,1,prim,20.00320100
917,9341,0.02224122,20.37295529,6.82110747,9.14216859,49.61560711,28.78448229,0.02456480,99.97880554,0.02255797,1,kruskal,2.40963400
405,3012,0.03681702,14.87407407,6.00388707,8.01035959,50.72644918,28.74184317,0.02851780,99.98570251,-0.02079581,1,kruskal,0.80956300
1294,1293,0.00154560,1.99845440,7.16549348,7.16472038,49.77255652,29.13546286,0.10266680,99.86240387,-0.00676575,1,kruskal,1.51913400
810,119377,0.36434861,294.75802469,6.69703425,11.69004183,49.95068920,28.89560780,0.01003413,99.99946594,-0.00220091,1,prim,13.77470200
481,14851,0.12864692,61.75051975,6.17586727,9.60582248,50.01341868,28.89889046,0.01162686,99.99833679,-0.00353624,1,prim,2.07847600
334,749,0.01346856,4.48502994,5.81114099,6.61873898,47.70726548,28.70734582,0.16677466,99.93516541,0.07267731,1,kruskal,0.40343400
444,43709,0.44444106,196.88738739,6.09582456,10.68530931,49.89479670,28.85106100,0.01008216,99.99453735,0.00664049,1,prim,4.55894200
3520,98857,0.01596157,56.16875000,8.16621627,11.50142964,50.05532282,28.88103655,0.01020012,99.99691772,0.00035035,1,prim,23.01510000
338,21556,0.37848752,127.55029586,5.82304590,9.97840948,49.86703116,29.01625765,0.02620903,99.99741364,-0.00829734,1,prim,2.18684100
300,14260,0.31794872,95.06666667,5.70378247,9.56521369,50.01444263,28.89342708,0.01181345,99.99132538,-0.00292382,1,prim,1.47130400
712,110054,0.43479669,309.14044944,6.56807791,11.60872643,50.02128339,28.82321478,0.01075288,99.99964905,-0.00341328,1,prim,11.58381900
309,20644,0.43382507,133.61812298,5.73334128,9.93518000,50.31833773,28.81173857,0.01544155,99.99702454,-0.01124240,1,prim,1.91544700
306,447,0.00957891,2.92156863,5.72358510,6.10255859,52.69215913,28.48427136,0.28983754,99.91550446,-0.12423749,1,kruskal,0.33780000
1305,74674,0.08776297,114.44291188,7.17395832,11.22088725,50.07981023,28.79850989,0.01036537,99.99636841,-0.00350037,1,prim,10.87761800
498,30440,0.24597383,122.24899598,6.21060008,10.32351281,50.15997698,28.83215015,0.01010204,99.99575806,-0.00231099,1,prim,3.26847200
669,60223,0.26951926,180.03886398,6.50578406,11.00580962,49.75556397,28.84920480,0.01173453,99.99414062,0.01219178,1,prim,6.55292000
408,5906,0.07113263,28.95098039,6.01126717,8.68372406,49.35184949,28.87716784,0.01143486,99.99133301,0.02611619,1,prim,1.09520100
1236,166940,0.21872830,270.12944984,7.11963564,12.02538975,49.98540059,28.87106192,0.01000892,99.99981689,0.00298358,1,prim,21.62377100
1575,170210,0.13731873,216.13968254,7.36201055,12.04478825,50.07944907,28.87661999,0.01039195,99.99774170,-0.00267732,1,prim,24.28901700
318,317,0.00628931,1.99371069,5.76205138,5.75890177,53.07214647,27.93318779,0.07684258,99.96417999,-0.11520462,1,kruskal,0.32798200
1286,20406,0.02469698,31.73561431,7.15929190,9.92358425,50.30214140,28.88075923,0.01023483,99.99762726,-0.00750584,1,prim,4.19900900
336,42664,0.75806681,253.95238095,5.81711116,10.66111075,50.40395268,28.86600012,0.01545007,99.99951172,-0.01592613,1,prim,3.39319800
608,67759,0.36720173,222.89144737,6.41017488,11.12371257,50.25556306,28.75683664,0.01099509,99.99767303,-0.00671802,1,prim,6.86030800
656,83905,0.39054645,255.80792683,6.48616079,11.33744049,49.97617324,28.84833651,0.01040616,99.99903107,0.00041024,1,prim,9.65701600
858,1623,0.00441449,3.78321678,6.75460410,7.39203157,50.04246523,29.10183486,0.11537243,99.93220520,-0.00952454,1,kruskal,1.09664500
4142,171070,0.01994750,82.60260744,8.32893404,12.04982811,49.99776039,28.89959986,0.01026277,99.99960327,0.00243968,1,kruskal,38.82891700
745,13412,0.04839431,36.00536913,6.61338422,9.50390511,50.10274416,28.98379506,0.02698097,99.99874878,-0.01095175,1,prim,2.35304600
950,46937,0.10412512,98.81473684,6.85646198,10.75656156,49.94966270,28.94282583,0.01052598,99.99879456,0.00085519,1,prim,6.37025800
961,44537,0.09655090,92.68886576,6.86797441,10.70407558,50.33252252,28.90913948,0.01090248,99.99481964,-0.01523611,1,prim,6.03159400
793,16951,0.05397926,42.75157629,6.67582322,9.73808211,50.23449271,28.88623183,0.02041312,99.98383331,-0.01158634,1,prim,2.76283200
1093,7883,0.01320927,14.42451967,6.99668149,8.97246382,50.70667494,28.81303791,0.02503898,99.98701477,-0.02206676,1,kruskal,2.23091800
649,648,0.00308166,1.99691834,6.47543272,6.47389070,51.34951314,28.08725819,0.28436989,99.94112396,-0.05428247,1,kruskal,0.72891500
353,19675,0.31668491,111.47308782,5.86646806,9.88710407,50.00296736,29.13279208,0.02147249,99.99665070,0.00311157,1,prim,1.96173800
3121,32285,0.00663105,20.68888177,8.04590874,10.38235801,50.08232329,28.93757772,0.01141512,99.99806976,0.00309254,1,kruskal,9.04339600
1197,150835,0.21072050,252.02172097,7.08757371,11.92394180,50.16771815,28.83716059,0.01008791,99.99994659,-0.00745641,1,prim,19.09826500
1294,1293,0.00154560,1.99845440,7.16549348,7.16472038,50.58966948,28.83268707,0.09698998,99.83956909,0.00205145,1,kruskal,1.49507500
1196,11866,0.01660486,19.84280936,7.08673793,9.38143245,50.07602167,28.71850479,0.05087508,99.99738312,-0.00644984,1,kruskal,3.03740200
765,152464,0.52172604,398.59869281,6.63987583,11.93468378,50.09030955,28.89356068,0.01020869,99.99701691,-0.00210399,1,prim,16.29607100
870,10308,0.02726876,23.69655172,6.76849321,9.24067557,50.42089277,28.82094533,0.01560162,99.98995972,-0.02088752,1,prim,2.51415500
515,10985,0.08299649,42.66019417,6.24416690,9.30428598,50.18079043,28.67453088,0.01066583,99.99890137,-0.01041180,1,prim,1.99253600
4065,94720,0.01146720,46.60270603,8.31016902,11.45868045,50.02165274,28.82587117,0.01303183,99.99900818,0.00353312,1,kruskal,23.04833600
325,324,0.00615385,1.99384615,5.78382518,5.78074352,47.37603996,28.11945521,0.28294122,99.72779846,0.14414905,1,kruskal,0.33740500
661,8704,0.03990281,26.33585477,6.49375384,9.07153797,49.91954686,28.98383950,0.01423640,99.99492645,-0.00618035,1,prim,1.80803400
635,1535,0.00762562,4.83464567,6.45362500,7.33628566,50.12161991,28.85808772,0.05188693,99.89593506,0.00506079,1,kruskal,0.83214300
1336,86228,0.09669201,129.08383234,7.19743535,11.36475023,49.90774153,28.85649730,0.01074112,99.99990845,0.00290013,1,kruskal,18.22187000
7785,167223,0.00551905,42.96030829,8.95995408,12.02708353,50.09728725,28.88562972,0.01048217,99.99938965,-0.00679496,1,kruskal,50.01931200
388,959,0.01277338,4.94329897,5.96100534,6.86589107,51.41260386,27.97827382,0.09955703,99.66716766,-0.06773594,1,kruskal,0.48606700
500,815,0.00653307,3.26000000,6.21460810,6.70318811,48.98835749,28.93661878,0.12546687,99.93281555,0.06453270,1,kruskal,0.56757600
408,18521,0.22306933,90.78921569,6.01126717,9.82666050,49.85180666,28.84369326,0.01791214,99.99972534,0.00783112,1,prim,2.04080600
2200,45051,0.01862458,40.95545455,7.69621264,10.71555046,49.78839789,28.89934108,0.01011193,99.99904633,0.01051414,1,kruskal,9.99736900
1664,18061,0.01305348,21.70793269,7.41697962,9.80151020,49.77380581,28.85012456,0.02443664,99.99774170,0.01009882,1,kruskal,4.71663100
7589,43065,0.00149569,11.34932139,8.93445511,10.67046588,49.93129549,28.89080168,0.01259745,99.99741364,0.00374482,1,kruskal,20.87302900
1132,10405,0.01625410,18.38339223,7.03174126,9.25004174,50.16604241,28.97671213,0.02341117,99.98320007,-0.00292402,1,kruskal,2.72631000
6570,58782,0.00272402,17.89406393,8.79026911,10.98159096,49.93705962,28.86855310,0.01042399,99.99982452,0.00466072,1,kruskal,22.01964600
3898,21974,0.00289312,11.27449974,8.26821888,9.99761522,50.47317098,28.88501798,0.01393486,99.99446869,-0.02138331,1,kruskal,8.48983900
645,62434,0.30061149,193.59379845,6.46925032,11.04186528,50.03268361,28.81996061,0.01155150,99.99868774,-0.00742228,1,prim,6.80599600
814,11595,0.03504175,28.48894349,6.70196037,9.35832925,49.87029764,28.78602172,0.02619550,99.98461914,0.00994947,1,prim,2.39025400
2656,9388,0.00266263,7.06927711,7.88457651,9.14718756,50.31501765,28.69389607,0.01340523,99.95922089,-0.02022402,1,kruskal,4.45832600
3294,36351,0.00670241,22.07103825,8.09985791,10.50097699,49.86771640,28.88174247,0.01055448,99.99687958,0.00125256,1,kruskal,10.53160800
1988,93373,0.04727560,93.93661972,7.59488439,11.44435750,49.97157803,28.82596110,0.01106966,99.99927521,0.00101459,1,prim,16.20168100
2053,32732,0.01553947,31.88699464,7.62705742,10.39610847,49.95965878,28.98746091,0.01331306,99.99907684,0.00258251,1,kruskal,7.51683800
1680,110003,0.07799640,130.95595238,7.42654907,11.60826292,50.06453921,28.81474056,0.01046818,99.99661255,-0.00254041,1,prim,17.21013800
490,30813,0.25719294,125.76734694,6.19440539,10.33569196,50.23597993,28.87998690,0.01159035,99.99964142,-0.00955133,1,prim,3.27172500
3485,55642,0.00916541,31.93228121,8.15622332,10.92669359,50.10043025,28.85323580,0.01406505,99.99489594,-0.00798792,1,kruskal,14.75513900
1238,10979,0.01433846,17.73667205,7.12125245,9.30373964,50.49019746,28.93197297,0.02925084,99.96376038,-0.01556016,1,kruskal,3.01640900
402,8689,0.10780263,43.22885572,5.99645209,9.06981314,49.78424324,28.91974181,0.01618262,99.98399353,0.01580839,1,prim,1.41609700
1254,8185,0.01041838,13.05422648,7.13409372,9.01005849,49.84034096,28.58022954,0.01225122,99.99644470,0.00276467,1,kruskal,2.67852200
572,8749,0.05357427,30.59090909,6.34913899,9.07669469,50.04482062,28.86398811,0.01360803,99.99058533,-0.02456321,1,prim,1.68297700
1609,20472,0.01582516,25.44686140,7.38336815,9.92681338,50.20394586,28.79819455,0.02255793,99.99482727,-0.00505352,1,kruskal,4.82232300
1419,128254,0.12748007,180.76673714,7.25770768,11.76176795,50.05988481,28.87144096,0.01030467,99.99914551,-0.00375766,1,prim,17.86211400
740,19592,0.07165271,52.95135135,6.60665019,9.88287660,50.16863919,28.77449971,0.01681432,99.99526215,-0.00267236,1,prim,3.21748300
2320,87406,0.03249245,75.35000000,7.74932246,11.37831921,50.00745397,28.84612027,0.01091496,99.99980927,0.00345873,1,prim,16.33049700
1741,3779,0.00249493,4.34118323,7.46221494,8.23721470,49.96597558,28.60339512,0.01873770,99.98452759,0.01569372,1,kruskal,2.42407200
394,460,0.00594154,2.33502538,5.97635091,6.13122649,48.51662673,29.29913794,0.06285672,99.94458008,0.04916164,1,kruskal,0.41265100
557,556,0.00359066,1.99640934,6.32256524,6.32076829,48.85205632,27.46194838,0.16993389,99.62370300,0.06478748,1,kruskal,0.62837000
553,25166,0.16488456,91.01627486,6.31535800,10.13324916,49.95405744,28.87090395,0.01789438,99.99961853,0.01435561,1,prim,3.38618500
1139,6392,0.00986281,11.22388060,7.03790596,8.76280249,49.58982903,28.66498631,0.05069810,99.99668121,0.00590434,1,kruskal,2.12559100
601,600,0.00332779,1.99667221,6.39859493,6.39692966,51.20410625,29.85624949,0.12169077,99.93353271,-0.04686077,1,kruskal,0.64715800
359,36012,0.56040211,200.62395543,5.88332239,10.49160750,49.81608465,28.76483388,0.01622117,99.99320221,0.00778008,1,prim,3.49467100
5010,76970,0.00613427,30.72654691,8.51919119,11.25117101,50.25044615,28.88584536,0.01508272,99.99887085,-0.00970343,1,kruskal,21.59996200
411,12195,0.14473918,59.34306569,6.01859321,9.40878131,50.05913785,28.66447391,0.02086279,99.99358368,-0.00079423,1,prim,2.02211500
6808,159187,0.00687009,46.76468860,8.82585367,11.97783489,50.01765764,28.87668119,0.01006789,99.99952698,0.00105763,1,kruskal,55.16420200
306,1463,0.03135112,9.56209150,5.72358510,7.28824440,50.07525296,28.79825301,0.06150679,99.94643402,-0.01835808,1,kruskal,0.46508800
12351,121719,0.00159595,19.70998300,9.42149231,11.70947039,49.96091782,28.81647451,0.01226454,99.99997711,0.00067780,1,kruskal,52.83404000
692,86806,0.36307437,250.88439306,6.53958596,11.37143102,50.04037088,28.91217402,0.01739333,99.99845886,-0.00612835,1,prim,9.27304200
350,349,0.00571429,1.99428571,5.85793315,5.85507192,48.45931609,27.88711540,0.11425893,99.87851715,0.07620873,1,kruskal,0.38222500
695,6934,0.02875210,19.95395683,6.54391185,8.84419213,50.16976276,29.00188605,0.03318668,99.99890137,-0.00442974,1,kruskal,1.64760700
646,1180,0.00566395,3.65325077,6.47079950,7.07326972,52.15857837,29.26491393,0.06002674,99.82682037,-0.08149109,1,kruskal,0.82072100
375,47834,0.68212478,255.11466667,5.92692603,10.77549196,50.04214061,28.83385533,0.01321134,99.99998474,-0.00038754,1,prim,3.88575200
437,7140,0.07494804,32.67734554,6.07993320,8.87346806,49.54406834,28.84849838,0.03073573,99.99805450,0.01215254,1,prim,1.23878800
813,127021,0.38482116,312.47478475,6.70073111,11.75210771,50.01232515,28.85271211,0.01113528,99.99882507,-0.00498389,1,prim,13.49226400
916,915,0.00218341,1.99781659,6.82001636,6.81892407,50.04460536,29.55725963,0.08895864,99.89473724,0.00661728,1,kruskal,1.00427000
1482,47662,0.04343092,64.32118758,7.30114781,10.77188971,49.84391803,28.87024550,0.01681513,99.99597168,0.00692965,1,prim,7.73315500
10398,131598,0.00243457,25.31217542,9.24936876,11.78750710,49.97523458,28.89090722,0.01095674,99.99891663,0.00188442,1,kruskal,46.03896100
344,343,0.00581395,1.99418605,5.84064166,5.83773045,48.66372083,28.87853671,0.03902158,99.54434967,-0.00809225,1,kruskal,0.35245300
356,26428,0.41823073,148.47191011,5.87493073,10.18217933,49.97567693,28.85635295,0.01010141,99.99614716,0.00716891,1,prim,2.56959300
714,109104,0.42863036,305.61344538,6.57088296,11.60005683,49.91575441,28.81028404,0.01081389,99.99989319,0.00551530,1,prim,11.43160000
659,50270,0.23186093,152.56449165,6.49072353,10.82516376,50.05095675,28.84569218,0.01066993,99.99655151,-0.00332025,1,prim,5.55214700
388,387,0.00515464,1.99484536,5.96100534,5.95842469,51.90738268,29.28266064,0.08948730,99.60022736,-0.09478593,1,kruskal,0.40400100
1033,179041,0.33589417,346.64278800,6.94022247,12.09537011,49.97193330,28.83687228,0.01013135,99.99958038,0.00147248,1,prim,21.61429300
3496,22295,0.00364938,12.75457666,8.15937474,10.01211772,50.14069392,28.74133648,0.01212721,99.99845886,-0.00172753,1,kruskal,7.98289700
757,163574,0.57164524,432.16380449,6.62936325,12.00502077,50.06856806,28.86878064,0.01088201,99.99990845,0.00133264,1,prim,17.35614400
1476,41662,0.03827293,56.45257453,7.29709101,10.63734472,49.88086436,28.87732212,0.01395228,99.99823761,0.00774581,1,prim,7.52657800
553,49147,0.32200514,177.74683544,6.31535800,10.80257109,50.14571465,28.81263421,0.01030293,99.99982452,-0.00911815,1,prim,5.08657700
332,1192,0.02169403,7.18072289,5.80513497,7.08338785,51.03331173,29.07762390,0.01421398,99.98979950,-0.04575125,1,kruskal,0.46316100
329,38678,0.71684335,235.12462006,5.79605775,10.56302624,50.24685861,28.86996527,0.01169491,99.99786377,-0.01167552,1,prim,3.55334000
656,55690,0.25921616,169.78658537,6.48616079,10.92755588,50.12808667,28.88230600,0.01078209,99.99692535,-0.00398670,1,prim,6.22111400
1241,2250,0.00292428,3.62610798,7.12367279,7.71868550,51.00023128,29.25310736,0.03030401,99.94302368,-0.03351157,1,kruskal,1.64278900
937,33467,0.07631877,71.43436499,6.84268328,10.41831516,49.90814572,28.82105819,0.01002831,99.99980927,0.01033672,1,prim,4.86015200
306,31785,0.68113147,207.74509804,5.72358510,10.36674976,49.85710885,29.03224001,0.01091153,99.99957275,0.01096697,1,prim,3.00124700
1229,2467,0.00326926,4.01464605,7.11395611,7.81075812,49.76225419,28.95739696,0.01597074,99.98136139,0.00802307,1,kruskal,1.66042100
464,11129,0.10360654,47.96982759,6.13988455,9.31730959,49.89224694,28.74789297,0.01041824,99.99462128,0.00297447,1,prim,1.58016100
